Alabama,AL,32.799,-86.8073
Alaska,AK,61.385,-152.2683
Arizona,AZ,33.7712,-111.3877
Arkansas,AR,34.9513,-92.3809
California,CA,36.17,-119.7462
Colorado,CO,39.0646,-105.3272
Connecticut,CT,41.5834,-72.7622
Delaware,DE,39.3498,-75.5148
District of Columbia,DC,38.8964,-77.0262
Florida,FL,27.8333,-81.717
Georgia,GA,32.9866,-83.6487
Hawaii,HI,21.1098,-157.5311
Idaho,ID,44.2394,-114.5103
Illinois,IL,40.3363,-89.0022
Indiana,IN,39.8647,-86.2604
Iowa,IA,42.0046,-93.214
Kansas,KS,38.5111,-96.8005
Kentucky,KY,37.669,-84.6514
Louisiana,LA,31.1801,-91.8749
Maine,ME,44.6074,-69.3977
Montana,MT,46.9048,-110.3261
Nebraska,NE,41.1289,-98.2883
Nevada,NV,38.4199,-117.1219
New Hampshire,NH,43.4108,-71.5653
New Jersey,NJ,40.314,-74.5089
New Mexico,NM,34.8375,-106.2371
New York,NY,42.1497,-74.9384
North Carolina,NC,35.6411,-79.8431
North Dakota,ND,47.5362,-99.793
Ohio,OH,40.3736,-82.7755
Oklahoma,OK,35.5376,-96.9247
Oregon,OR,44.5672,-122.1269
Maryland,MD,39.0724,-76.7902
Massachusetts,MA,42.2373,-71.5314
Michigan,MI,43.3504,-84.5603
Minnesota,MN,45.7326,-93.9196
Mississippi,MS,32.7673,-89.6812
Missouri,MO,38.4623,-92.302
Pennsylvania,PA,40.5773,-77.264
Rhode Island,RI,41.6772,-71.5101
South Carolina,SC,33.8191,-80.9066
South Dakota,SD,44.2853,-99.4632
Tennessee,TN,35.7449,-86.7489
Texas,TX,31.106,-97.6475
Utah,UT,40.1135,-111.8535
Vermont,VT,44.0407,-72.7093
Virginia,VA,37.768,-78.2057
Washington,WA,47.3917,-121.5708
West Virginia,WV,38.468,-80.9696
Wisconsin,WI,44.2563,-89.6385
Wyoming,WY,42.7475,-107.2085
